sl_key|value,static_label_category|value,feature_name|value,screen_list|value,sl_value_en|value,sl_value_ta|value,sl_value_hi|value,sl_value_as|value,sl_value_bn|value,sl_value_kn|value,sl_value_ml|value,sl_value_mr|value,sl_value_or|value,sl_value_te|value,sl_value_pa|value,sl_value_gu|value
lbl_vl_vkyc_reference_video,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness vkyc screen","body text",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_upload_doc2_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Proforma invoice",,,,,,,,,,,
lbl_pv_edit_insurance_screen_mas_title1,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Mahindra Arogya Suraksha",,,,,,,,,,,
lbl_pv_salary_slip_upload_doc,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Upload document",,,,,,,,,,,
lbl_pv_edit_insurance_screen_mas_insurance_premium,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurance Premium",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_reference_title,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Reference details",,,,,,,,,,,
lbl_pv_Miscellaneous,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Miscellaneous,,,,,,,,,,,
cta_pv_pan_details_proceed,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation",Proceed,,,,,,,,,,,
lbl_pv_enter_six_digit_aadhaar_otp,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Enter the 6-digit Aadhaar OTP sent to your registered mobile number",,,,,,,,,,,
lbl_pv_edit_insurance_screen_mas_insurer1,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurer 1",,,,,,,,,,,
pv_use,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Use,,,,,,,,,,,
pv_salary_slip_title,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Great going! We just need 1 more document to calculate your final offer.",,,,,,,,,,,
pv_life_insurance_msg3,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Disability coverage",,,,,,,,,,,
msg_pv_attempts2,"Vehicle Finance","Passenger vehicle","Passenger Vehicle_Digilocker_Retry Screen","attempts left",,,,,,,,,,,
pv_income_proof_1,"Vehicle Finance","Passenger vehicle","passenger vehicle offer discussion screen","Provide your recent 3 months' salary slips or the ITR File.",,,,,,,,,,,
lbl_preferable_residence,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Applicants with a residential address are preferred",,,,,,,,,,,
pv_disbursement_to_dealer,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Disbursement to Dealer",,,,,,,,,,,
lbl_pv_aadhaar_loading,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar",Loading...,,,,,,,,,,,
lbl_pv_loading,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar",Loading,,,,,,,,,,,
pv_car_details,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Car details",,,,,,,,,,,
lbl_pv_stepper_overlay_step_three_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","<ul><li>KYC</li><li>Personal details</li><li>Employment details</li></ul>",,,,,,,,,,,
pv_other_charges,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Other charges",,,,,,,,,,,
pv_cancel,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Cancel,,,,,,,,,,,
pv_coapplicant,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Co-applicant,,,,,,,,,,,
pv_insurance_currency,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen",currency,,,,,,,,,,,
err_msg_inComeAssessment_retry_part_two,"Vehicle Finance","Passenger vehicle","BankStatement Analysis","attempts remaining",,,,,,,,,,,
msg_pv_attempts1,"Vehicle Finance","Passenger vehicle","Passenger Vehicle_Digilocker_Retry Screen","You have",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_upload_doc3_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Work address proof (optional)",,,,,,,,,,,
pv_lbl_2adults,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Adult 2",,,,,,,,,,,
lbl_pv_no_of_years_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","No. of years at communication address",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_doc_sub_title_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","File size should not exceed 2MB and must be in PNG, JPEG, JPG or PDF format only.",,,,,,,,,,,
pv_select_verification_mode_sub_title,"Vehicle Finance","Passenger vehicle","passenger vehicle_income verification screen","Verify your income details to evaluate your eligibility and get a better loan offer",,,,,,,,,,,
pv_insurance_premium_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurance premium",,,,,,,,,,,
lbl_select_emi_date,"Vehicle Finance","Passenger vehicle","Mandate Select Bank Screen","Select EMI due date",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_btm_sheet_title,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Refree Details",,,,,,,,,,,
err_msg_mas_age,"Vehicle Finance","Passenger vehicle","Mas add Insurance","Nominee age must be between %s1 and %s2",,,,,,,,,,,
lbl_pv_not_able_to_fetch_details,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","We are not able to fetch your details. Try with Aadhaar xml.",,,,,,,,,,,
pv_add_nominee_details,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Nominee Details",,,,,,,,,,,
lbl_improve_chances_for_application,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","To improve your chances of approval, we need the following in your application",,,,,,,,,,,
lbl_liveliness_check_a_step_away,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","You are a step away from generating your provisional acknowledgement Letter",,,,,,,,,,,
lbl_pv_cancel,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen",Cancel,,,,,,,,,,,
lbl_pv_get_otp,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Get OTP",,,,,,,,,,,
pv_lbl_2adults_2child,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","2 Adults + 2 Child",,,,,,,,,,,
msg_pv_copied,"Vehicle Finance","Passenger vehicle","passenger vehicle_thank you screen",Copied,,,,,,,,,,,
pv_female,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen",Female,,,,,,,,,,,
NB0001,"Vehicle Finance","Passenger vehicle","passenger vehicle_income verification screen","Select different bank or different verification mode as with selected bank,netBanking option not available",,,,,,,,,,,
lbl_liveliness_check_instruction1,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","Take a selfie with your camera",,,,,,,,,,,
lbl_adding_coapplicant_guarantor_msg,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Adding a co-applicant / guarantor could increase your chances to get a better loan offer",,,,,,,,,,,
pv_coverage_option_dropdown,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Coverage options",,,,,,,,,,,
pv_in_months,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","(in months)",,,,,,,,,,,
lbl_pv_fi_thank_you_screen_sanction_letter_text,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Acknowledgement Letter",,,,,,,,,,,
lbl_pv_stepper_step_five_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Get your Loan offer disbursed to your account with this final step","உங்கள் கடன் சலுகையை இறுதி படியாக உங்கள் கணக்கில் வழங்கிக் கொள்ளுங்கள்","अपने ऋण प्रस्ताव को इस अंतिम चरण से अपने खाते में वितरित कराएँ","এই শেষ পদক্ষেপৰে আপোনাৰ ঋণ প্ৰস্তাৱ আপোনাৰ একাউন্টত বিতৰণ কৰক","এই শেষ ধাপের মাধ্যমে আপনার ঋণ প্রস্তাব আপনার অ্যাকাউন্টে বিতরণ করুন","ಈ ಅಂತಿಮ ಹಂತದ ಮೂಲಕ ನಿಮ್ಮ ಸಾಲದ ಆಫರ್ ಅನ್ನು ನಿಮ್ಮ ಖಾತೆಗೆ ವಿತರಿಸಿಕೊಳ್ಳಿ","ഈ അന്തിമ ഘട്ടത്തിലൂടെ നിങ്ങളുടെ വായ്പാ ഓഫർ നിങ്ങളുടെ അക്കൗണ്ടിലേക്ക് വിതരണം ചെയ്യുക","या अंतिम टप्प्यातून तुमची कर्ज ऑफर तुमच्या खात्यात वितरित करा","ଏହି ଶେଷ ପଦକ୍ଷେପରେ ଆପଣଙ୍କ ଋଣ ପ୍ରସ୍ତାବକୁ ଆପଣଙ୍କ ଖାତାରେ ବିତରଣ କରନ୍ତୁ","ఈ చివరి దశ ద్వారా మీ రుణ ఆఫర్‌ను మీ ఖాతాలో జమ చేసుకోండి","ਇਸ ਆਖਰੀ ਕਦਮ ਨਾਲ ਆਪਣੀ ਕਰਜ਼ੇ ਦੀ ਪੇਸ਼ਕਸ਼ ਆਪਣੇ ਖਾਤੇ ਵਿੱਚ ਜਮ੍ਹਾ ਕਰਵਾਓ","આ અંતિમ પગથિયાથી તમારી લોન ઓફર તમારા ખાતામાં વિતરણ કરો"
lbl_relationship,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Relation with you",,,,,,,,,,,
lbl_pv_street,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Street / Area / Locality",,,,,,,,,,,
pv_cta_life_insurance,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen",Add,,,,,,,,,,,
lbl_pv_something_went_wrong_title,"Vehicle Finance","Passenger vehicle","Api Failure Screen","Something went wrong",,,,,,,,,,,
lbl_pv_fi_additional_detail_screen_consent_txt,"Vehicle Finance","Passenger vehicle",,"I hereby declare that I am not related to any director or any senior officer of any bank/NBFC (including MMFSL)",,,,,,,,,,,
lbl_pv_liveliness_step2,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check steps screen","Ensure that your face is placed inside the frame",,,,,,,,,,,
lbl_upload_income_proof_desc,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Provide your recent 3 months’ salary slips or the ITR File. ",,,,,,,,,,,
lbl_pv_stepper_headline,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Avail you car loan in quick and easy steps from wherever you are....",,,,,,,,,,,
lbl_pv_exshowroom_price,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Ex-showroom Price",,,,,,,,,,,
lbl_pv_discount,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Discounts,,,,,,,,,,,
pv_salary_slip_upload_sub_text,"Vehicle Finance","Passenger vehicle",,"Single file size limit is 5 MB. Accepted file types include PNG, JPEG, JPG or PDF format only.",,,,,,,,,,,
pv_error_yoe,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Cannot be greater than age",,,,,,,,,,,
pv_mahindra_arogya_suraksha,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Mahindra Aarogya Suraksha",,,,,,,,,,,
lbl_pv_RtoCharges_HelperText,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Tentative price ₹5,500",,,,,,,,,,,
pv_offer_msg_bold,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","We have created a best offer for you",,,,,,,,,,,
pv_emi_frequency,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","EMI Frequency",,,,,,,,,,,
lbl_pv_updated_loan_offer_sub_header,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen","Your personalised offer is ready! 
Valid till (DATE). Terms may vary subject to document verification.


",,,,,,,,,,,
pv_emi_due_date,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","EMI Due date",,,,,,,,,,,
lbl_pv_communication_address,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Communication Address",,,,,,,,,,,
lbl_pv_fi_additional_detail_screen_upload_doc_txt,"Vehicle Finance","Passenger vehicle",,"Upload documents",,,,,,,,,,,
lbl_pv_thank_you_title,"Vehicle Finance","Passenger vehicle","pv thank you screen","Thank you for your response",,,,,,,,,,,
lbl_pv_update_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen",Update,,,,,,,,,,,
lbl_pv_ticket_no,"Vehicle Finance","Passenger vehicle","passenger vehicle_thank you screen","Service ticket no.",,,,,,,,,,,
pv_talk_to_exec,"Vehicle Finance","Passenger vehicle","passenger vehicle offer discussion screen","Get a call from us!",,,,,,,,,,,
lbl_pv_car_insurance,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Car Insurance",,,,,,,,,,,
pv_salary_slip_tool_tip_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","upload documents",,,,,,,,,,,
lbl_no_vehicles_owned,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","No. of vehicles owned",,,,,,,,,,,
pv_guarantor,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Guarantor,,,,,,,,,,,
cta_pv_stepper_get_started,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Get started",தொடங்குங்கள்,"शुरू करें","আৰম্ভ কৰক","শুরু করুন",ಪ್ರಾರಂಭಿಸಿ,ആരംഭിക്കുക,"सुरू करा","ଆରମ୍ଭ କରନ୍ତୁ",ప్రారంభించండి,"ਸ਼ੁਰੂ ਕਰੋ","શરૂ કરો"
lbl_pv_edit_insurance_screen_mas_insurer2,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Insurer 2",,,,,,,,,,,
msg_pv_low_success_rate,"Vehicle Finance","Passenger vehicle","passenger vehicle_income verification screen","Currently this mode is facing low success rate",,,,,,,,,,,
msg_pv_otp_mpin_error,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Something went wrong. Please try after 20 minutes.",,,,,,,,,,,
lbl_pv_drop_journey_title,"Vehicle Finance","Passenger vehicle","Dropoff Journey","We cannot proceed further at this time.",,,,,,,,,,,
pv_lbl_mls_insurance_consent1,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","I have read through and agree with all the",,,,,,,,,,,
pv_repayment_amount,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Repayment amount",,,,,,,,,,,
lbl_pv_aadhaar_enter_otp,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Enter OTP",,,,,,,,,,,
pv_processing_fee_incl_gst,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Processing fee (incl. GST)",,,,,,,,,,,
err_msg_pv_aadhaar_retry_part_one,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","We are unable to validate Aadhaar. Please try again.",,,,,,,,,,,
lbl_pv_car_usage,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Car usage",,,,,,,,,,,
msg_pv_something_went_wrong,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Something went wrong. Please try again",,,,,,,,,,,
pv_nominee_details,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Nominee details",,,,,,,,,,,
lbl_pv_congratulations,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen",Congratulations!,,,,,,,,,,,
btn_pv_check_eligibility,"Vehicle Finance","Passenger vehicle","passenger vehicle_thank you screen","Check Eligibility",,,,,,,,,,,
pv_family_radio_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen",Family,,,,,,,,,,,
pv_father_name,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Father's Name",,,,,,,,,,,
lbl_pv_updated_loan_offer_header,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen","We have updated the offer for you",,,,,,,,,,,
msg_pv_check_eligibility_msg1,"Vehicle Finance","Passenger vehicle","passenger vehicle_thank you screen","Only takes a moment",,,,,,,,,,,
lbl_pv_loan_eligible,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","You are eligible for a pre-approved loan up to",,,,,,,,,,,
pv_annual_int_rate,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","Annualised Interest Rate",,,,,,,,,,,
pv_accept_loan_offer,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Accept Loan Offer",,,,,,,,,,,
lbl_pv_no_of_years_permanent_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","No. of years at permanent address",,,,,,,,,,,
err_msg_pv_please_enter_valid_text,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Please enter valid text",,,,,,,,,,,
pv_tnc_1,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","I have read through and agree with all the",,,,,,,,,,,
msg_pv_error_aadhaar_auth_max,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Unable to validate' your aadhaar number' please try using DigiLocker",,,,,,,,,,,
lbl_pv_fi_additional_detail_screen_reference_title,"Vehicle Finance","Passenger vehicle",,"Reference details",,,,,,,,,,,
lbl_did_you_know_subtext,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Adding co-applicant/guarantor is really \nsimple. Just provide Name, DOB and PAN \nto add person as your guarantor or co-\napplicant.",,,,,,,,,,,
pv_total_loan_amount,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Total Loan amount",,,,,,,,,,,
lbl_pl_vkyc_tnc_disclaimer_label,"Vehicle Finance","Passenger vehicle",,"disclaimer text",,,,,,,,,,,
lbl_pv_stepper_step_two_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Car and Dealer Details","கார் மற்றும் டீலர் விவரங்கள்","कार और डीलर का विवरण","গাড়ী আৰু ডিলাৰৰ বিৱৰণ","গাড়ি এবং ডিলারের বিবরণ","ಕಾರು ಮತ್ತು ಡೀಲರ್ ವಿವರಗಳು","കാറിൻ്റെയും ഡീലറുടെയും വിശദാംശങ്ങൾ","कार आणि डीलर तपशील","କାର ଏବଂ ଡିଲର ବିବରଣୀ |","కారు మరియు డీలర్ వివరాలు","ਕਾਰ ਅਤੇ ਡੀਲਰ ਦੇ ਵੇਰਵੇ","કાર અને ડીલરની વિગતો"
lbl_pv_stepper_overlay_step_four_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Acknowledgement Letter ",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_tooltip_doc_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Upload required documents",,,,,,,,,,,
lbl_pv_date_of_birth,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Date of birth",,,,,,,,,,,
lbl_pv_enter_valid_dob,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Please enter date of birth",,,,,,,,,,,
lbl_pv_edit_insurance_screen_msl_title1,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Mahindra Loan Suraksha",,,,,,,,,,,
msg_pv_error_invalid_attempt2,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","attempts left.",,,,,,,,,,,
lbl_pv_unable_fetch_details,"Vehicle Finance","Passenger vehicle","Passenger Vehicle_Digilocker_Retry Screen","Unable to fetch details",,,,,,,,,,,
pv_name,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review",Name,,,,,,,,,,,
warn_msg_letter,"Vehicle Finance","Passenger vehicle","passenger vehicle provisional sanction letter","This is a provisional letter which is subject to change basis the result of Fi and CPC check.",,,,,,,,,,,
lbl_vl_vkyc_tnc_Alert_label,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness vkyc screen","alert title",,,,,,,,,,,
lbl_pv_stepper_overlay_step_two_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Keep your proforma invoice handy, if available",,,,,,,,,,,
lbl_pv_variant,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Variant,,,,,,,,,,,
msg_pv_insaurance_date_cannot_be_in_future,"Vehicle Finance","Passenger vehicle",,"Future date is not allowed",,,,,,,,,,,
cta_pv_fi_add_detail_screen_btm_sheet_update_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",Update,,,,,,,,,,,
lbl_pv_fi_thank_you_screen_header,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Your application is under review",,,,,,,,,,,
lbl_pv_coapp_dob,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Date of birth (as per PAN)",,,,,,,,,,,
lbl_pv_coapp_pan_name,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Full name (as per PAN)",,,,,,,,,,,
lbl_pv_electricity_bill,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Electricity bill",,,,,,,,,,,
lbl_liveliness_check_instruction3,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","Remove spectacles, hats and masks. a clear visible face will be approved fast",,,,,,,,,,,
lbl_pv_dealer_quotes,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Dealer Quote",,,,,,,,,,,
msg_pv_acknowledge,"Vehicle Finance","Passenger vehicle","passenger vehicle_thank you screen","Our representative will contact you shortly.\n\nPlease use this reference number for your communication with our representatives.",,,,,,,,,,,
err_msg_pv_coapp_please_enter_valid_pan,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Please enter valid PAN",,,,,,,,,,,
err_msg_pv_please_enter_valid_pan,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Please enter valid PAN",,,,,,,,,,,
pv_need_to_discus,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","Need to discuss my offer",,,,,,,,,,,
err_msg_salary_upload_retry_part_two,"Vehicle Finance","Passenger vehicle","Upload Salary Slip","attempts remaining",,,,,,,,,,,
pv_add_nominee_MLS_title,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Please add nominee details for Mahindra Loan Suraksha",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_dd_religion_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",Religion,,,,,,,,,,,
lbl_pv_updated_loan_offer_tool_tip_mls,"Vehicle Finance","Passenger vehicle",,"Life Insurance",,,,,,,,,,,
lbl_pv_fi_additional_detail_screen_upload_doc2_txt,"Vehicle Finance","Passenger vehicle",,"Proforma invoice",,,,,,,,,,,
pv_salary_slip_review_screen_title,"Vehicle Finance","Passenger vehicle","passenger vehicle_salaryslipscreen","Income assessment under review",,,,,,,,,,,
lbl_pv_updated_loan_offer_emi_amount,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance review screen","EMI amount",,,,,,,,,,,
lbl_pv_continue,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar",Continue,,,,,,,,,,,
lbl_pv_stepper_step_one_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Enter your PAN details to check eligibility in few seconds","சில நொடிகளில் தகுதியைச் சரிபார்க்க உங்கள் பான் விவரங்களை உள்ளிடவும்.","अपनी पात्रता की जांच करने के लिए कुछ ही सेकंड में अपना पैन विवरण दर्ज करें।","কেইছেকেণ্ডমানৰ ভিতৰতে যোগ্যতা পৰীক্ষা কৰিবলৈ আপোনাৰ পেনৰ সবিশেষ প্ৰৱেশ কৰক","কয়েক সেকেন্ডের মধ্যে যোগ্যতা পরীক্ষা করতে আপনার প্যানের বিবরণ লিখুন।","ಕೆಲವು ಸೆಕೆಂಡುಗಳಲ್ಲಿ ಅರ್ಹತೆಯನ್ನು ಪರಿಶೀಲಿಸಲು ನಿಮ್ಮ ಪ್ಯಾನ್ ವಿವರಗಳನ್ನು ನಮೂದಿಸಿ.","കുറച്ച് നിമിഷങ്ങൾക്കുള്ളിൽ യോഗ്യത പരിശോധിക്കാൻ നിങ്ങളുടെ പാൻ വിശദാംശങ്ങൾ നൽകുക.","काही सेकंदात पात्रता तपासण्यासाठी तुमचा पॅन तपशील प्रविष्ट करा.","କିଛି ସେକେଣ୍ଡ ମଧ୍ୟରେ ଯୋଗ୍ୟତା ଯାଞ୍ଚ କରିବା ପାଇଁ ଆପଣଙ୍କର PAN ବିବରଣୀ ପ୍ରବେଶ କରନ୍ତୁ।","కొన్ని సెకన్లలో అర్హతను తనిఖీ చేయడానికి మీ పాన్ వివరాలను నమోదు చేయండి.","ਕੁਝ ਸਕਿੰਟਾਂ ਵਿੱਚ ਯੋਗਤਾ ਦੀ ਜਾਂਚ ਕਰਨ ਲਈ ਆਪਣੇ ਪੈਨ ਵੇਰਵੇ ਦਰਜ ਕਰੋ।","થોડીક સેકન્ડોમાં પાત્રતા ચકાસવા માટે તમારા PAN વિગતો દાખલ કરો."
lbl_pv_pan_example,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Eg- AABPD4528R",,,,,,,,,,,
lbl_pv_aadhaar_validation_retry_msg2,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","attempts remaining.",,,,,,,,,,,
msg_mandate,"Vehicle Finance","Passenger vehicle","Select Bank Screen","Please confirm your bank details.  We will validate these for your loan disbursal and set up your EMI repayment.",,,,,,,,,,,
lbl_pv_identify_yourself,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check screen","Identify yourself",,,,,,,,,,,
pv_employment_details,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Employment Details",,,,,,,,,,,
lbl_pv_stepper_checkbox_read_more_text,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Read more","மேலும் படிக்க","और पढ़ें","অধিক পঢ়ক","আরও পড়ুন","ಇನ್ನಷ್ಟು ಓದಿ","കൂടുതൽ വായിക്കുക","आणखी वाचा","ଅଧିକ ପଢନ୍ତୁ","మరింత చదవండి","ਹੋਰ ਪੜ੍ਹੋ","વધુ વાંચો"
msg_pv_error_aadhaar_address_auth_max,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Sorry we cannot authenticate you please raise offline request with documents or visit branch to update your mobile number.",,,,,,,,,,,
lbl_vl_vkyc_tnc_label,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness vkyc screen","Terms and Conditions",,,,,,,,,,,
lbl_pv_liveliness_step3,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness check steps screen","For fast approvals, provide an unobstructed view of your face; remove spectacles, hats and masks. ",,,,,,,,,,,
lbl_pv_let_us_know_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","Please update values as per dealer quotation, if available.",,,,,,,,,,,
err_pv_lbl_insurance_dob_format,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Invalid Date of Birth. Please use dd/mm/yyyy format.",,,,,,,,,,,
lbl_did_you_know,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Did you know?",,,,,,,,,,,
lbl_pv_pin_code,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen",Pincode,,,,,,,,,,,
cta_pv_fi_additional_detail_screen_add_txt,"Vehicle Finance","Passenger vehicle",,Add,,,,,,,,,,,
pv_discuss_offer_with_executive,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen","Discuss offer with executive",,,,,,,,,,,
